target	offset_start	offset_end	context	sense	comments		
abroad	39	45	"As we emerge from a decade of conflict abroad and economic crisis at home, it's time to renew America, Obama said, speaking against a backdrop of armored vehicles and a U.S. flag."	"OTHER COUNTRY | Countries, nationalities & continents: country & nation ['abroad']"	-		
abroad	39	45	"As we emerge from a decade of conflict abroad and economic crisis at home, it is time to renew America, Obama said."	"OTHER COUNTRY | Countries, nationalities & continents: country & nation ['abroad']"	-		
abroad	73	79	#1-8 The speech also covered the legal status of both UK citizens living abroad and EU citizens living in the UK.	"OTHER COUNTRY | Countries, nationalities & continents: country & nation ['abroad']"	-		
account	59	66	Guindos said the European Commission report failed to take account of all austerity measures.	JUDGE | Analysing and evaluating ['account']	MWE | take account		
account	86	93	#30-2 A woman in Spain has been fined €800 after posting a photograph to her Facebook account of a police vehicle parked in space reserved for disabled/handicapped drivers.	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	75	82	Most administrators consider such an unblock request a sure sign of a sock account ( particularly one with very few edits otherwise ) and will decline on that basis .	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	52	59	"Most such accounts are soft-blocked , meaning a new account may be created while the old one is blocked ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	133	140	"Accusations of sockpuppetry result in many blocks and almost as many unblock requests , as Wikipedia policy calls for the sockpuppet account to be blocked indefinitely and the sockpuppeteer to be blocked for some length of time ( possibly also indefinitely ) ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	150	157	"If you state in your request that the edits which led to your block were made by someone else ( for example , your little brother ) who accessed your account without your knowledge or permission , we will have to leave it blocked ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	126	133	"Occasionally readers who have never or rarely edited before , or not from that location , with no intention of registering an account , click on edit only to find that editing from their IP address is blocked , for something they did n't do ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	86	93	"Even without the use of the Checkuser tool , or with a result of `` unrelated '' , an account that makes the same edits as a different blocked account , has the same linguistic peculiarities and the same general interests may remain blocked under the `` quacks like a duck '' test ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	143	150	"Even without the use of the Checkuser tool , or with a result of `` unrelated '' , an account that makes the same edits as a different blocked account , has the same linguistic peculiarities and the same general interests may remain blocked under the `` quacks like a duck '' test ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	95	102	Users confirmed or believed to have engaged in the practice must request unblock at their main account .	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	31	38	"This is done because it is the account name , not the behavior of the person behind it , which is the problem ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	3	10	"An account with a username that uses hateful or obscene language or otherwise indicates disruptive or provocative intent will be hard blocked , meaning that an unblock request will be required ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
account	113	120	"Reviewing admins will usually defer to the blocking admin in a sockpuppetry-based block , especially if the sock account has minimal edits ."	NONE OF THESE OPTIONS	Digital / social media / online / virtual account		
activity	26	34	"#18-12 As a result of his activity, since 1997 Adnan has been arrested reportedly around ten times, and has gone on several hunger strikes, one of which lasted 28 days, while another lasted 66 days and after his release he went on strike for another 12 days as a token of sympathy for the remaining Palestinian detainees in Israeli prisons."	"WORK | Work, working and the workplace ['activity']"	-		
activity	211	219	"The Israeli official said the new ambassador to Cairo, Yaakov Amitai, was expected to travel to the Egyptian capital in December to present his credentials, but the embassy would not be staffed or resume normal activity until acceptable security arrangements were in place."	"WORK | Work, working and the workplace ['activity']"	-		
activity	125	133	The attack comes just after the Taliban announced the start of their annual spring offensive in which they increase military activity during warm weather months.	"WORK | Work, working and the workplace ['activity']"	-		
activity	212	220	"In the wake of the incident, Netanyahu said Israel sought to preserve the 1979 peace treaty with Egypt, but would seek to ensure that security arrangements would be revamped prior to the resumption of diplomatic activity in Cairo."	"WORK | Work, working and the workplace ['activity']"	-		
activity	128	136	"#31-3 The blast occurred at approximately 7pm on Monday local time (1200 UTC), when central Bangkok was flooded with pedestrian activity."	MOVEMENT | Acting and acts ['activity']	-		
actually	132	140	"#42-97 So basically it seems like they collect it in order to keep diseases out of the nest, so they stop the disease before it can actually infect them."	"IN FACT | True, real, false, and unreal ['actually']"	-		
actually	60	68	#42-86 There's conflicting evidence about whether sick ants actually smell different from healthy ones or not.	"IN FACT | True, real, false, and unreal ['actually']"	-		
actually	71	79	"#23-16 However, he believes Everson only has a chance of success if he actually files a lawsuit rather than simply complaining to the FEC."	"IN FACT | True, real, false, and unreal ['actually']"	-		
administration	64	78	"#15-41 Rex Tillerson, proposed Secretary of State for the Trump administration, implied the troops would be staying put."	GOVERNMENT | Ruling & governing ['administration']	-		
administration	179	193	"#32-7 With Wikinews reporter William S. Saturn‎, Everson discusses his 2016 campaign, the media blackout of his campaign, and his views on the presidency and the possible Everson administration."	GOVERNMENT | Ruling & governing ['administration']	-		
administration	165	179	"#32-2 Everson served as Commissioner of Internal Revenue, the administrative head of the Internal Revenue Service (IRS) from 2003 to 2007, during the George W. Bush administration."	GOVERNMENT | Ruling & governing ['administration']	-		
administration	15	29	"#10-19 Putin's administration described the deployment as ""a threat""."	GOVERNMENT | Ruling & governing ['administration']	-		
administration	93	107	"#23-3 Everson served as Commissioner of the IRS from 2003 to 2007, during the George W. Bush administration."	GOVERNMENT | Ruling & governing ['administration']	-		
administration	16	30	"#6-15 The Obama administration has seen what The New York Times calls an ""unprecedented crackdown on leaks of government secrets."""	GOVERNMENT | Ruling & governing ['administration']	-		
administration	90	104	"#13-16 The Affordable Care Act, which is often cited as a key accomplishment of the Obama administration, has had a mixed reputation, and many conservatives believe a market-based health care system would be more flexible and efficient and less costly, and many believe that the Affordable Care Act only passed because of Obama's later discredited pledge that no one who liked their current health plan would have to switch."	GOVERNMENT | Ruling & governing ['administration']	-		
administration	150	164	"At the same time, it suggested that between now and November, the president will point to his management of the wars in Iraq and Afghanistan, and the administration's efforts to significantly degrade al-Qaeda, as major successes of his first term."	GOVERNMENT | Ruling & governing ['administration']	-		
adoption	56	64	"In 1964 , to support children who were not eligible for adoption , Buck established the Pearl S. Buck Foundation ( now called Pearl S. Buck International ) to `` address poverty and discrimination faced by children in Asian countries . ''"	TAKING CHILD | Parenting & caring for children ['adoption']	-		
adoption	100	108	"She wrote on a diverse variety of topics including women 's rights , Asian cultures , immigration , adoption , missionary work , and war ."	TAKING CHILD | Parenting & caring for children ['adoption']	-		
affairs	81	88	"The pact envisions wide-ranging U.S. involvement in Afghan economic and security affairs for a decade, if only as an adviser or underwriter."	MATTER	-		
affairs	79	86	#27-3 The government of North Korea rarely makes statements about its internal affairs.	MATTER	-		
affairs	157	164	"Eight Chinese fishing vessels were anchored off Scarborough Shoal, the Philippine government said on Wednesday, as Albert del Rosario, the country's foreign affairs secretary, called in Ma Keqing, the ambassador, for talks."	MATTER	-		
affairs	12	19	"The foreign affairs department statement said the Philippines' flagship warship, the Gregorio Del Pilar, found the eight vessels there on Sunday while patrolling the area."	MATTER	-		
affairs	38	45	"However, Olli Rehn, the EU's monetary affairs chief, said the European Commission has full confidence in the determination of the Spanish government to meet the fiscal targets."	MATTER	-		
affairs	15	22	"EU's economics affairs commissioner Olli Rehn said he was confident that Spain would tackle its ""immediate fiscal and financial challenges with full determination."""	MATTER	-		
ahead	53	58	"Team Germany won it with 128 points , 35 points lead ahead of Team New Zealand ."	IN FRONT | Describing the leading position ['ahead']	-		
ahead	165	170	"Just hours after President Obama’s plane lifted off from Afghanistan, a bomb rocked Kabul, killing at least seven, a vivid reminder of the challenges that still lay ahead for the country."	IN THE FUTURE | In the future & soon ['ahead']	MWE | lie ahead		
ahead	71	76	"But the European Union painted a grim picture of Spain's economy hours ahead of the reform, saying the country's GDP will shrink 1.8 per cent this year — compared with the 1.7 per cent drop predicted by Madrid — and that the deficit will come in at 6.4 per cent of output, not 5.3 per cent, because of overspending by regional governments."	BEFORE | Early ['ahead']	-		
ahead	155	160	"The goal that I set - to defeat al Qaeda, and deny it a chance to rebuild - is within our reach, Mr. Obama said, adding that ""there will be difficult days ahead."	IN THE FUTURE | In the future & soon ['ahead']	-		
ahead	116	121	But the violence that erupted about 90 minutes after his departure was a stark reminder of the difficult task still ahead for Afghan troops as they work to secure their country after U.S. and other foreign troops end their combat mission following nearly a decade at war.	IN THE FUTURE | In the future & soon ['ahead']	-		
aimed	128	133	"Del Rosario had contacted Ma to emphasise that the area was ""an integral part of Philippine territory"" and invite him for talks aimed at finding a diplomatic solution, according to the statement."	"INTEND | Planning, expecting and arranging ['aim']"	-		
aimed	21	26	#15-44 He said Putin aimed to weaken the NATO alliance.	"INTEND | Planning, expecting and arranging ['aim']"	-		
aimed	52	57	"#34-7 Yesterday, North Korea fired artillery rounds aimed at a loudspeaker in South Korea that broadcasts anti-Pyongyang propaganda into the North."	POINT | Aiming and aim ['aim']	-		
aimed	125	130	Monday's killings come despite a month-old ceasefire brokered by UN-Arab League envoy Kofi Annan as part of a six-point plan aimed at ending violence that has swept Syria since March last year when a popular revolt erupted against Assad's regime.	"INTEND | Planning, expecting and arranging ['aim']"	-		
aimed	45	50	"A reform package for Spain's troubled banks, aimed at convincing investors that the sector is solvent and the country has a strategy to avoid a bailout, is expected to be released."	"INTEND | Planning, expecting and arranging ['aim']"	-		
aimed	83	88	"The government in Spain has announced a new set of financial reforms, particularly aimed at cleaning up the country's banking system, which is saddled with bad loans."	"INTEND | Planning, expecting and arranging ['aim']"	-		
Air	83	86	"We’re agreeing to be long-term partners,” said Obama, who later headed home aboard Air Force One after just six hours on the ground."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
Air	94	97	"Military personnel watch on a screen as President Barack Obama makes a live address at Bagram Air Field, Afghanistan, Wednesday, May 2, 2012."	AIRCRAFT | Air travel: aviation ['air']	MWE | air field		
Air	78	81	"Obama left the U.S. around 12 a.m. early Tuesday morning and landed at Bagram Air Field at 10:30 p.m. local time, according to a pool report."	AIRCRAFT | Air travel: aviation ['air']	MWE | air field		
Air	24	27	"Obama arrived at Bagram Air Field late Tuesday, then traveled to Kabul by helicopter for a meeting with President Hamid Karzai in which they signed an agreement governing the U.S. presence after combat troops withdraw in 2014."	AIRCRAFT | Air travel: aviation ['air']	MWE | air field		
Air	74	77	"PRESIDENT Barack Obama, speaking to a US television audience  from Bagram Air Base, said he had travelled there to herald a new era in the relationship between the US and Afghanistan, ''a future in which war ends, and a new chapter begins''."	AIRCRAFT | Air travel: aviation ['air']	MWE | air base		
Air	44	47	"My fellow Americans, Obama said from Bagram Air Field, ""we have traveled through more than a decade under the dark cloud of war."	AIRCRAFT | Air travel: aviation ['air']	MWE | air field		
Air	28	31	"#2-10 The military said the Air Force was dispatched to deal with ""remnants"" of the Boko Haram militant group, which it claims to be in a final push against."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
Air	21	24	"#14-6 The Royal Thai Air Force asked that images of the accident not be shared, but this has not deterred the press."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
Air	6	9	#14-7 Air Force spokesperson Pongsak Semachai said an investigatory commission would be formed.	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
Air	48	51	"#19-5 According to Agus Supriatna, chief of the Air Force, the pilot reported technical problems and requested return to base."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
Air	46	49	#19-6 The aircraft was en route from Soewondo Air Force Base to Natuna.	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
Air	75	78	"#19-1 C-130 Hercules crashes in Medan, Indonesia On Tuesday, an Indonesian Air Force C-130 Hercules crashed in the city of Medan, Indonesia."	AIRCRAFT | Air travel: aviation ['air']	MWE | air force		
